feature,score
total_sales,8150
merchant_coupon_transfer_rate,6758
total_coupon,6278
discount_rate,6247
days_distance,5728
coupon_rate,5615
merchant_mean_distance,5415
discount_man,4887
day_of_month,4687
sales_use_coupon,4578
this_month_user_receive_all_coupon_count,4096
distance,3659
discount_jian,3160
user_merchant_rate,2406
buy_total,2391
coupon_received,1969
user_merchant_buy_common,1733
this_month_user_receive_same_coupon_count,1719
user_merchant_buy_total,1669
this_month_user_receive_same_coupon_lastone,1520
this_day_user_receive_all_coupon_count,1481
count_merchant,1475
user_merchant_coupon_transfer_rate,1451
user_coupon_transfer_rate,1422
merchant_max_distance,1368
merchant_median_distance,1310
buy_use_coupon_rate,1240
avg_user_date_datereceived_gap,1207
user_merchant_any,1156
this_month_user_receive_same_coupon_firstone,1127
max_user_date_datereceived_gap,1084
user_merchant_coupon_buy_rate,911
user_merchant_received,839
min_user_date_datereceived_gap,766
buy_use_coupon,557
weekday4,544
is_weekend,461
user_merchant_buy_use_coupon,449
user_merchant_common_buy_rate,403
merchant_min_distance,368
weekday2,366
user_min_distance,339
weekday3,336
weekday5,334
weekday6,309
weekday7,308
weekday1,297
user_mean_distance,275
user_max_distance,243
this_day_user_receive_same_coupon_count,200
is_man_jian,186
user_median_distance,166
